State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,date,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation
NJ,Essex County,34,13,6/29/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-157.pdf,"N.J. Exec. Order No.157 (June 26, 2020)"
NJ,Essex County,34,13,6/30/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-157.pdf,"N.J. Exec. Order No.157 (June 26, 2020)"
NJ,Essex County,34,13,7/1/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-157.pdf,"N.J. Exec. Order No.157 (June 26, 2020)"
NJ,Essex County,34,13,7/2/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-157.pdf,"N.J. Exec. Order No.157 (June 26, 2020)"
NJ,Essex County,34,13,7/3/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-157.pdf,"N.J. Exec. Order No.157 (June 26, 2020)"
NJ,Essex County,34,13,7/4/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-157.pdf,"N.J. Exec. Order No.157 (June 26, 2020)"
NJ,Essex County,34,13,7/5/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-157.pdf,"N.J. Exec. Order No.157 (June 26, 2020)"
NJ,Essex County,34,13,7/6/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-157.pdf,"N.J. Exec. Order No.157 (June 26, 2020)"
NJ,Essex County,34,13,7/7/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-157.pdf,"N.J. Exec. Order No.157 (June 26, 2020)"
NJ,Essex County,34,13,7/8/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,7/9/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
NJ,Essex County,34,13,7/10/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-163.pdf,"N. J. Exec. Order 163 (July 8, 2020)"
